Brand,Model,Year,Created On,Modified On
Lexus,LS 400,1994,2013-01-01,2013-01-01
Lexus,RX 350 AWD,2012,2013-01-01,2016-09-26
Lexus,GS 450h,2013,2013-01-01,2020-06-02
Lexus,SC 300/SC 400,1998,2013-01-01,2013-01-01
Lexus,RX 350h AWD,2023,2023-01-26,2023-03-01
Lexus,RC 300 AWD,2022,2021-09-24,2022-11-08
Lexus,RX 350 2WD,2008,2013-01-01,2013-01-01
Lexus,IS 350 AWD,2024,2023-11-06,2024-05-29
Lexus,ES 350,2010,2013-01-01,2013-01-01
Lexus,GS 430,2007,2013-01-01,2013-01-01
Lexus,SC 430,2007,2013-01-01,2013-01-01
Lexus,RX 300 4WD,2002,2013-01-01,2013-01-01
Lexus,NX 200t AWD F Sport,2016,2015-10-19,2016-09-26
Lexus,IS 250/IS 250C,2011,2013-01-01,2016-09-26
Lexus,NX 300 AWD F Sport,2019,2018-06-13,2018-08-10
Lexus,RX 450h AWD,2015,2014-03-21,2017-04-05
Lexus,NX 200t,2017,2016-10-05,2017-01-25
Lexus,LC 500,2023,2022-10-26,2023-06-01
Lexus,LS 600h L,2009,2013-01-01,2020-06-02
Lexus,IS F,2011,2013-01-01,2016-09-26
Lexus,ES 350 F Sport,2022,2021-09-02,2022-01-04
Lexus,RX 350 2WD,2010,2013-01-01,2013-01-01
Lexus,ES 250,1991,2013-01-01,2013-01-01
Lexus,LS 460 L,2009,2013-01-01,2013-01-01
Lexus,RZ 450e AWD (18 inch Wheels),2023,2023-07-31,2023-09-07
Lexus,IS 300 AWD,2016,2015-09-04,2016-09-26
Lexus,ES 350 F Sport,2020,2019-08-26,2019-12-10
Lexus,GS 350 AWD,2009,2013-01-01,2013-01-01
Lexus,IS 200t,2017,2016-10-26,2016-11-22
Lexus,RX 350 L,2020,2019-08-29,2019-12-10
Lexus,ES 350 F Sport,2024,2023-07-31,2023-09-19
Lexus,NX 300 AWD F Sport,2020,2019-06-04,2019-12-10
