Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2018 Mercedes-AMG GT 43 4Matic 4-Door (X290) Photos, engines & full specs",Mercedes-AMG GT 43 4MATIC 4-Door (X290)3.0L 9AT AWD (367 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-43-4matic-4-doors-2018.html,,,,,,,,,All Wheel Drive,9-speed automatic Speedshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2018 Mercedes-AMG GT 43 4Matic 4-Door (X290) Photos, engines & full specs",Mercedes-AMG GT 43 4MATIC 4-Door (X290)3.0L 9AT AWD (367 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-43-4matic-4-doors-2018.html,,,,,,,,,,,Ventilated Discs,Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2018 Mercedes-AMG GT 43 4Matic 4-Door (X290) Photos, engines & full specs",Mercedes-AMG GT 43 4MATIC 4-Door (X290)3.0L 9AT AWD (367 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-43-4matic-4-doors-2018.html,,,,,,,,,,,,,255/45 R19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2018 Mercedes-AMG GT 43 4Matic 4-Door (X290) Photos, engines & full specs",Mercedes-AMG GT 43 4MATIC 4-Door (X290)3.0L 9AT AWD (367 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-43-4matic-4-doors-2018.html,,,,,,,,,,,,,,199 in (5055 mm),73.7 in (1872 mm),57.3 in (1455 mm),"65.9/65.6 in (1,674/1,666 mm)",116.2 in (2951 mm),16.1 cuFT (456 L),,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2018 Mercedes-AMG GT 43 4Matic 4-Door (X290) Photos, engines & full specs",Mercedes-AMG GT 43 4MATIC 4-Door (X290)3.0L 9AT AWD (367 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-43-4matic-4-doors-2018.html,,,,,,,,,,,,,,,,,,,,4332 lbs (1965 kg),,,,,,,,,5545 lbs (2515 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2018 Mercedes-AMG GT 43 4Matic 4-Door (X290) Photos, engines & full specs",Mercedes-AMG GT 43 4MATIC 4-Door (X290)3.0L 9AT AWD (367 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-43-4matic-4-doors-2018.html,,,,,,,,,,,,,,,,,,,,,25 mpg US (9.4 L/100Km),,,,,19.1 mpg US (12.3 L/100Km),29.4 mpg US (8 L/100Km),,,,,,,,,215-209 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2018 Mercedes-AMG GT 4-Door coupe 63 4Matic+ (X290) Photos, engines & full specs",Mercedes-AMG GT 63 4MATIC+ (X290)4.0L V8 9G AWD (585 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-63-4-door-coupe-2018.html,V8,3982 cm3,430.3 KW @ 5500-6500 RPM585 HP @ 5500-6500 RPM577 BHP @ 5500-6500 RPM,590 lb-ft @ 2350-5000 RPM800 Nm @ 2350-5000 RPM,Turbocharged Direct Injection,Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2018 Mercedes-AMG GT 4-Door coupe 63 4Matic+ (X290) Photos, engines & full specs",Mercedes-AMG GT 63 4MATIC+ (X290)4.0L V8 9G AWD (585 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-63-4-door-coupe-2018.html,,,,,,,,193 mph (311 km/h),,,,,,,,,,,,,,3.4 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2018 Mercedes-AMG GT 4-Door coupe 63 4Matic+ (X290) Photos, engines & full specs",Mercedes-AMG GT 63 4MATIC+ (X290)4.0L V8 9G AWD (585 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-63-4-door-coupe-2018.html,,,,,,,,,All Wheel Drive,9-Speed automatic (AMG SPEEDSHIFT MCT 9G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2018 Mercedes-AMG GT 4-Door coupe 63 4Matic+ (X290) Photos, engines & full specs",Mercedes-AMG GT 63 4MATIC+ (X290)4.0L V8 9G AWD (585 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-63-4-door-coupe-2018.html,,,,,,,,,,,265/40 R20,295/35 R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
