Brand,Model,Year,Created On,Modified On
Volvo,C70 Convertible,2004,2013-01-01,2013-01-01
Volvo,S60 B5 AWD,2022,2021-07-12,2022-01-04
Volvo,S60 FWD,2014,2013-01-01,2016-09-26
Volvo,S60,2001,2013-01-01,2013-01-01
Volvo,XC90 FWD,2004,2013-01-01,2017-01-18
Volvo,V60 AWD,2016,2016-01-05,2016-09-26
Volvo,V70 FWD,2001,2013-01-01,2013-01-01
Volvo,V70 FWD,2005,2013-01-01,2013-01-01
Volvo,C70 Convertible,1999,2013-01-01,2013-01-01
Volvo,S60 AWD,2013,2013-01-01,2016-09-26
Volvo,S60 AWD,2006,2013-01-01,2013-01-01
Volvo,XC90 FWD,2005,2013-01-01,2017-01-18
Volvo,S80 AWD,2008,2013-01-01,2013-01-01
Volvo,XC60 AWD,2021,2020-06-11,2021-04-26
Volvo,740 16-Valve,1990,2013-01-01,2013-01-01
Volvo,V70 AWD,1998,2013-01-01,2013-01-01
Volvo,V50 FWD,2009,2013-01-01,2013-01-01
Volvo,S40 FWD,2006,2013-01-01,2013-01-01
Volvo,240 DL/GL/turbo Wagon,1985,2013-01-01,2016-03-10
Volvo,S70,1999,2013-01-01,2013-01-01
Volvo,XC90 FWD,2009,2013-01-01,2017-01-18
Volvo,V70 AWD,2006,2013-01-01,2013-01-01
Volvo,C30 FWD,2008,2013-01-01,2013-01-01
Volvo,V70 FWD,2000,2013-01-01,2013-01-01
Volvo,240 DL/GL/Turbo Wagon,1984,2013-01-01,2013-01-01
Volvo,V60 AWD PHEV,2020,2019-08-26,2023-06-23
Volvo,XC90 AWD PHEV,2021,2020-07-10,2023-06-23
Volvo,S60 Polestar AWD,2018,2017-06-05,2018-02-06
Volvo,V50 FWD,2008,2013-01-01,2013-01-01
Volvo,XC60 AWD,2019,2018-06-13,2018-09-21
Volvo,C70 Convertible,2007,2013-01-01,2013-01-01
Volvo,XC90 FWD,2007,2013-01-01,2017-01-18
Volvo,240 DL/240 GL Wagon,1988,2013-01-01,2013-01-01
Volvo,740/760 Wagon,1987,2013-01-01,2013-01-01
Volvo,V60 T8 AWD Recharge,2022,2021-08-10,2023-06-23
Volvo,S60 R AWD,2007,2013-01-01,2013-01-01
Volvo,XC60 FWD,2015,2014-04-07,2016-09-26
Volvo,S80 FWD,2012,2013-01-01,2016-09-26
Volvo,S60 FWD,2004,2013-01-01,2013-01-01
Volvo,740 Wagon,1991,2013-01-01,2013-01-01
Volvo,S40 FWD,2008,2013-01-01,2013-01-01
Volvo,V70 FWD,2007,2013-01-01,2013-01-01
Volvo,XC60 AWD,2015,2014-01-06,2016-09-26
Volvo,C70 Convertible,2000,2013-01-01,2013-01-01
Volvo,V50 AWD,2010,2013-01-01,2013-01-01
Volvo,XC90 FWD,2008,2013-01-01,2017-01-18
Volvo,740,1992,2013-01-01,2013-01-01
Volvo,940,1992,2013-01-01,2013-01-01
Volvo,C30 FWD,2009,2013-01-01,2013-01-01
Volvo,S60 FWD,2006,2013-01-01,2013-01-01
Volvo,XC90 AWD,2018,2017-06-12,2017-12-20
Volvo,S80 AWD,2008,2013-01-01,2013-01-01
Volvo,V50 AWD,2009,2013-01-01,2013-01-01
Volvo,V70 FWD,2000,2013-01-01,2013-01-01
Volvo,240 DL/240 GL,1988,2013-01-01,2013-01-01
Volvo,S60 FWD,2015,2014-04-07,2016-09-26
Volvo,240 DL/GL/Turbo Wagon,1984,2013-01-01,2013-01-01
Volvo,740/760 Wagon,1987,2013-01-01,2013-01-01
Volvo,V50 FWD,2009,2013-01-01,2013-01-01
Volvo,XC90 FWD,2013,2013-01-01,2016-09-26
Volvo,C30 FWD,2009,2013-01-01,2013-01-01
Volvo,S60 FWD,2002,2013-01-01,2013-01-01
Volvo,C70 Convertible,2003,2013-01-01,2013-01-01
Volvo,V70 AWD,2000,2013-01-01,2013-01-01
Volvo,V70 FWD,2002,2013-01-01,2013-01-01
Volvo,240 DL/240 GL,1987,2013-01-01,2013-01-01
Volvo,V70 FWD,2004,2013-01-01,2013-01-01
Volvo,240 DL/GL/turbo,1985,2013-01-01,2016-03-10
Volvo,S90 T8 AWD Recharge,2022,2021-07-26,2023-06-23
Volvo,240 DL/GL/Turbo Wagon,1984,2013-01-01,2013-01-01
Volvo,V50 FWD,2010,2013-01-01,2013-01-01
Volvo,S60 FWD,2006,2013-01-01,2013-01-01
Volvo,850,1993,2013-01-01,2013-01-01
Volvo,S80 FWD,2011,2013-01-01,2016-09-26
Volvo,XC60 AWD,2016,2016-01-05,2016-09-26
Volvo,240 DL/GL/turbo Wagon,1985,2013-01-01,2016-03-10
Volvo,C70,1999,2013-01-01,2013-01-01
Volvo,240 Wagon,1990,2013-01-01,2013-01-01
Volvo,XC70 FWD,2016,2015-05-21,2016-09-26
Volvo,960,1994,2013-01-01,2013-01-01
Volvo,XC40 FWD,2021,2020-06-11,2021-04-26
Volvo,960 Wagon,1995,2013-01-01,2013-01-01
Volvo,S80,2000,2013-01-01,2013-01-01
Volvo,XC60 AWD,2010,2013-01-01,2017-01-18
Volvo,S60 FWD,2005,2013-01-01,2013-01-01
Volvo,S40 FWD,2008,2013-01-01,2013-01-01
Volvo,940 SE,1991,2013-01-01,2013-01-01
Volvo,C70 Convertible,2006,2013-01-01,2013-01-01
Volvo,S60 FWD,2006,2013-01-01,2013-01-01
Volvo,S60 FWD,2016,2015-05-21,2016-09-26
Volvo,S60 FWD,2003,2013-01-01,2013-01-01
Volvo,940 Wagon,1994,2013-01-01,2013-01-01
Volvo,V50 FWD,2007,2013-01-01,2013-01-01
Volvo,XC60 AWD,2013,2013-01-01,2016-09-26
Volvo,S80 FWD,2016,2015-05-29,2016-09-26
Volvo,240 Wagon,1991,2013-01-01,2013-01-01
Volvo,850,1993,2013-01-01,2013-01-01
Volvo,XC90 AWD,2005,2013-01-01,2017-01-18
Volvo,XC90 T8 AWD Recharge,2023,2023-06-20,2023-06-20
Volvo,XC40 T5 AWD,2022,2021-07-12,2022-01-04
Volvo,S80 FWD,2010,2013-01-01,2013-01-01
Volvo,S80 AWD,2004,2013-01-01,2013-01-01
Volvo,V70 R AWD,2007,2013-01-01,2013-01-01
Volvo,240 DL/GL/Turbo,1984,2013-01-01,2013-01-01
Volvo,C70,1999,2013-01-01,2013-01-01
Volvo,V70 AWD,2005,2013-01-01,2013-01-01
Volvo,740,1989,2013-01-01,2013-01-01
Volvo,XC40 B4,2023,2022-07-13,2023-06-01
Volvo,C70 FWD,2011,2013-01-01,2016-09-26
Volvo,XC60 AWD,2012,2013-01-01,2016-09-26
Volvo,960 Wagon/V90,1997,2013-01-01,2013-01-01
Volvo,XC40 B5 AWD,2024,2023-06-23,2024-04-30
Volvo,940 Turbo,1991,2013-01-01,2013-01-01
Volvo,XC60 B6 AWD,2023,2022-07-13,2023-06-01
Volvo,740,1990,2013-01-01,2013-01-01
Volvo,V50 FWD,2009,2013-01-01,2013-01-01
Volvo,S60 PoleStar AWD,2016,2015-05-21,2016-09-26
Volvo,S40 FWD,2004,2013-01-01,2013-01-01
Volvo,760 GLE,1984,2013-01-01,2013-01-01
Volvo,V70 FWD,1998,2013-01-01,2013-01-01
Volvo,S60 FWD,2021,2020-06-11,2021-04-26
Volvo,740/760,1988,2013-01-01,2013-01-01
Volvo,S40 FWD,2008,2013-01-01,2013-01-01
Volvo,XC60 AWD,2012,2013-01-01,2016-09-26
Volvo,V70 FWD,1999,2013-01-01,2013-01-01
Volvo,C70 FWD,2010,2013-01-01,2013-01-01
Volvo,240,1993,2013-01-01,2013-01-01
Volvo,740/760 Wagon,1988,2013-01-01,2013-01-01
Volvo,V90 FWD,2021,2020-06-11,2021-04-26
Volvo,C30 FWD,2011,2013-01-01,2016-09-26
Volvo,S40 AWD,2006,2013-01-01,2013-01-01
Volvo,S40 FWD,2006,2013-01-01,2013-01-01
Volvo,XC60 FWD,2014,2013-01-01,2016-09-26
Volvo,S60 FWD,2006,2013-01-01,2013-01-01
Volvo,240 DL/GL/Turbo,1984,2013-01-01,2013-01-01
Volvo,740 Wagon,1989,2013-01-01,2013-01-01
Volvo,V60 FWD,2020,2019-06-11,2019-11-08
Volvo,XC70 AWD,2015,2014-04-07,2016-09-26
Volvo,XC90 AWD,2005,2013-01-01,2017-01-18
Volvo,C70 Convertible,2008,2013-01-01,2013-01-01
Volvo,C40 Recharge twin,2022,2021-12-02,2023-06-23
Volvo,XC90 B5 AWD,2024,2023-06-23,2024-04-30
Volvo,760 GLE,1984,2013-01-01,2013-01-01
Volvo,S60 T8 AWD Recharge,2024,2023-11-06,2024-04-30
Volvo,XC90 AWD,2017,2016-06-10,2017-04-11
Volvo,V90 FWD,2020,2019-06-11,2019-11-08
Volvo,XC60 AWD,2016,2015-05-21,2016-09-26
Volvo,C30 FWD,2010,2013-01-01,2013-01-01
Volvo,S40 FWD,2010,2013-01-01,2013-01-01
Volvo,S60 AWD PHEV,2021,2020-10-26,2023-06-23
Volvo,C70 Coupe,2000,2013-01-01,2013-01-01
Volvo,240,1992,2013-01-01,2013-01-01
Volvo,S90 AWD,2018,2017-06-12,2017-07-05
Volvo,V60 PoleStar AWD,2016,2015-05-21,2016-09-26
Volvo,V90 CC AWD,2018,2017-06-12,2017-06-16
Volvo,S60 FWD,2017,2016-06-16,2017-04-11
Volvo,740/760,1986,2013-01-01,2013-01-01
Volvo,740 Wagon,1992,2013-01-01,2013-01-01
Volvo,V50 FWD,2006,2013-01-01,2013-01-01
Volvo,S80 AWD,2009,2013-01-01,2013-01-01
Volvo,XC90 AWD,2014,2013-01-01,2016-09-26
Volvo,XC90 AWD,2006,2013-01-01,2017-01-18
Volvo,240 DL/GL/Turbo Wagon,1984,2013-01-01,2013-01-01
Volvo,940,1995,2013-01-01,2013-01-01
Volvo,S60 AWD,2012,2013-01-01,2016-09-26
Volvo,XC90 AWD,2016,2015-04-07,2016-09-26
Volvo,S60 Inscription FWD,2016,2015-05-29,2016-09-26
Volvo,S40 FWD,2006,2013-01-01,2013-01-01
Volvo,S40 AWD,2007,2013-01-01,2013-01-01
Volvo,V50 FWD,2008,2013-01-01,2013-01-01
Volvo,XC90 AWD,2020,2019-06-18,2019-11-08
Volvo,S60 FWD,2003,2013-01-01,2013-01-01
Volvo,XC40 Recharge twin,2024,2023-07-31,2024-04-30
Volvo,S60 CC AWD,2018,2017-06-12,2018-02-06
Volvo,V60 FWD,2016,2015-05-29,2016-09-26
Volvo,New C70 Convertible,2006,2013-01-01,2013-01-01
Volvo,C70 Coupe,2001,2013-01-01,2013-01-01
Volvo,850 Wagon,1995,2013-01-01,2016-04-04
Volvo,XC60 FWD,2010,2013-01-01,2017-01-18
Volvo,V90 FWD,2018,2017-06-12,2017-06-16
Volvo,S80/S80 Executive,2002,2013-01-01,2013-01-01
Volvo,V60 Polestar AWD,2017,2016-08-25,2016-10-12
Volvo,XC90 FWD,2012,2013-01-01,2016-09-26
Volvo,S60 R AWD,2004,2013-01-01,2013-01-01
Volvo,S80 FWD,2009,2013-01-01,2013-01-01
Volvo,XC90 AWD,2003,2013-01-01,2017-01-18
Volvo,V60 FWD,2015,2014-04-07,2016-09-26
Volvo,XC90 T8 AWD Recharge,2024,2023-11-06,2024-04-30
Volvo,850 Wagon,1997,2013-01-01,2013-01-01
Volvo,S60 AWD,2016,2015-05-21,2016-09-26
Volvo,S40 FWD,2005,2013-01-01,2013-01-01
Volvo,XC40 Recharge twin,2022,2021-08-24,2023-06-23
Volvo,V50 FWD,2009,2013-01-01,2013-01-01
Volvo,S60 B5 AWD,2024,2023-06-23,2024-04-30
Volvo,S60 AWD,2015,2014-01-17,2016-09-26
Volvo,XC90 FWD,2014,2013-01-01,2016-09-26
Volvo,240 DL/GL/Turbo,1984,2013-01-01,2013-01-01
Volvo,S70 AWD,1999,2013-01-01,2013-01-01
Volvo,240 DL/240 GL Wagon,1987,2013-01-01,2013-01-01
Volvo,740/760,1988,2013-01-01,2013-01-01
Volvo,960 Wagon,1992,2013-01-01,2013-01-01
Volvo,V90 CC AWD,2019,2018-06-13,2018-12-03
Volvo,960/S90,1997,2013-01-01,2013-01-01
Volvo,960 Wagon,1994,2013-01-01,2013-01-01
Volvo,S60 AWD,2015,2014-01-06,2016-09-26
Volvo,740/760,1985,2013-01-01,2013-01-01
Volvo,240 DL/GL/Turbo Wagon,1984,2013-01-01,2013-01-01
Volvo,S60 FWD,2007,2013-01-01,2013-01-01
Volvo,S60 FWD,2009,2013-01-01,2013-01-01
Volvo,S60 CC AWD,2017,2016-06-16,2017-04-11
Volvo,S90 FWD,2019,2018-06-13,2018-12-03
Volvo,S80 AWD,2010,2013-01-01,2013-01-01
